key_dstreet,number-street,key_province
1,0 Myrtle St,20
2,10380 Stageline St,7
12,13273 March Way,7
53,22811 Golden Locust Dr,7
119,8491 Sunset Rose Dr,7
120,858 Pointe Vista Cir,7
3,1050 Hygeia Ave APT B,13
4,106 Ocean Dr,63
5,108 Jaripol Cir,60
6,10902 Ranchito St,12
7,1119 Pacific St,1
54,230 Rodman St,1
73,3205 Colgate Ln,1
103,5612 Greenhorn Mountain Ct,1
109,6316 Sundale Ave,1
8,12121 163rd St,50
9,12303 Keys Creek Rd #1,80
10,1260 E 4th St APT 3,39
35,1823 E Appleton St APT 15,39
44,2054 N Studebaker Rd,39
65,2832 E 64th St,39
11,13220 Lamplite Ln,35
13,13601 Arroyo Dr,82
25,15640 Bow String St,82
14,13691 Gavina Ave UNIT 546,75
16,13877 Graber Ave,75
15,13871 College St,84
17,1435 Madera St,38
18,1445 Anita St,79
19,145 Cerrito Dr,15
86,418 Coventry Ct,15
20,15 Westchester Ct,8
21,1506 E Windsor Rd,18
22,1525 S Aurora St,73
23,15307 Larch Ave,37
24,15500 Tustin Village Way APT 55,78
26,15754 Patricia St,45
27,15798 Bleriot St,23
28,16025 Madrone Blvd,6
29,16159 Maplegrove St,30
30,1621 Wood Lake,68
31,163 Rigel St,54
32,16512 Blackbeard Ln APT 106,26
33,16581 Grunion #10,26
40,19844 Kingswood Ln,26
45,20701 Beach Blvd SPACE 279,26
48,21851 Newland St SPACE 10,26
96,4852 Cabana Dr APT 101,26
34,17 Cabrillo St,47
69,307 Anade Ave,47
106,6 Midsummer,47
36,18419 Pacific Coast Hwy,41
37,1855 E Riverside Dr SPACE 252,52
38,18741 Melrose Ave,21
39,1888 Timber Trl,83
52,2280 San Remo Cir,83
41,20164 Crestview Dr,69
62,27610 Santa Clarita Rd,69
42,203 E Fallbrook St,14
43,205 S 2nd St S SPACE 42,11
104,568 Ann St,11
46,212 E Putnam Avenue,57
47,21405 Quail Springs Rd,76
49,22585 Ellis St,56
50,22602 Raymond Rd,56
82,3850 Salt River Ln,56
51,22703 Valley Vista Cir,85
55,2341 E Adams Ave,53
56,2342 Helix St,72
57,23872 Calle Ganador,43
58,24841 Vista Magnifica,33
59,25142 Nueva Vista Dr,33
60,27182 Westridge Ln,32
61,2721 Woodbine Ter,55
88,4236 Grandview Dr,55
63,28 Lemans,48
64,2832 Dartmouth Dr,36
91,43926 Normandy Ln,36
94,45131 28th St E SPACE 1,36
66,29 Golden Inn Way,58
67,29224 Relief Hill Rd,46
68,300 Ellis St SPC 77,34
78,33105 Victoria Brooke Ln,34
70,31090 Fretwell Ave,25
71,31130 S General Kearny Rd #156,77
77,32752 Hislop Way,77
90,43145 Via Angeles,77
72,3195 Dumbarton Ave,62
74,324 N Valencia St,28
75,3261 Curling Ct,67
76,327 W Nubia St,65
79,3436 Rainbow Ln,24
80,3743 Chanate Rd,70
87,42 Estrella Dr,70
81,3844 Aztec Ct,71
83,3936 Park View Trl,17
84,400 Alemany Blvd APT 22,66
85,4133 Florida St APT 5,64
95,4568 Clairemont Dr,64
100,5404 Olive St #C,64
89,4305 Elma Ln,29
92,4399 Aplicella Ct #60,42
93,44607 Grovewood Cir,22
108,630 Marbella Ave,22
117,840 S Gilbert St,22
97,4865 Eldred St,40
98,529 N Jefferson St,5
99,531 Sparrowhawk Way,31
101,5464 Albright St #28,51
102,5520 Deer Creek Ln,59
105,5896 Rio Way,2
107,6236 Topeka Dr,61
110,63551 Cobalt Rd,27
111,66087 Avenida Cadena,10
112,6650 Ponto Dr SPACE 45,4
113,7141 Coldwater Canyon Ave #5,49
114,719 3rd St,44
115,7560 Woodman Pl SPACE 120,81
116,7919 Day St,74
118,8425 Satinwood Ave,3
121,8674 Rosena Ave,16
122,9330 Horseshoe Canyon Rd,9
123,9810-9810 Smith Station Rd,19
